2/22/2017 12:06:28 PM
CFP Host: MSA
Address, Hex, Decimal, ASCII, MSA Description
CFP NVR 1  32768(8000h),0x0E,14,,Module Identifier
CFP NVR 1  32769(8001h),0x95,149,?,Extended Identifier
CFP NVR 1  32770(8002h),0x07,7,,Connector Type Code
CFP NVR 1  32771(8003h),0x01,1,,Ethernet Application Code
CFP NVR 1  32772(8004h),0x00,00,,Fiber Channel Application Code
CFP NVR 1  32773(8005h),0x00,00,,Copper Link Application Code
CFP NVR 1  32774(8006h),0x00,00,,SONET/SDH Application Code
CFP NVR 1  32775(8007h),0x00,00,,OTN Application Code
CFP NVR 1  32776(8008h),0x08,8,,Additional Capable Rates Supported
CFP NVR 1  32777(8009h),0x4A,74,J,Number of Lanes Supported
CFP NVR 1  32778(800Ah),0x11,17,,Media Properties
CFP NVR 1  32779(800Bh),0x81,129,?,Maximum Network Lane Bit Rate
CFP NVR 1  32780(800Ch),0x34,52,4,Maximum Host Lane Bit Rate
CFP NVR 1  32781(800Dh),0x0A,10, ,Maximum Single Mode Optical Fiber Length
CFP NVR 1  32782(800Eh),0x00,00,,Maximum Multi-Mode Optical Fiber Length
CFP NVR 1  32783(800Fh),0x00,00,,Maximum Copper Cable Length
CFP NVR 1  32784(8010h),0x01,1,,Transmitter Spectral Characteristics 1
CFP NVR 1  32785(8011h),0x04,4,,Transmitter Spectral Characteristics 2
CFP NVR 1  32786(8012h),0xCA,202,?,Minimum Wavelength per Active Fiber
CFP NVR 1  32787(8013h),0x45,69,E,Minimum Wavelength per Active Fiber
CFP NVR 1  32788(8014h),0xCC,204,?,Maximum Wavelength per Active Fiber
CFP NVR 1  32789(8015h),0xB8,184,?,Maximum Wavelength per Active Fiber
CFP NVR 1  32790(8016h),0x08,8,,Maximum per Lane Optical Width
CFP NVR 1  32791(8017h),0x34,52,4,Maximum per Lane Optical Width
CFP NVR 1  32792(8018h),0x21,33,!,Device Technology 1
CFP NVR 1  32793(8019h),0x44,68,D,Device Technology 2
CFP NVR 1  32794(801Ah),0x40,64,@,Signal Code
CFP NVR 1  32795(801Bh),0x70,112,p,Maximum Total Optical Output Power per Connector
CFP NVR 1  32796(801Ch),0x1C,28,,Maximum Optical Input Power per Network Lane
CFP NVR 1  32797(801Dh),0x73,115,s,Maximum Power Consumption
CFP NVR 1  32798(801Eh),0x64,100,d,Maximum Power Consumption in Low Power Mode
CFP NVR 1  32799(801Fh),0x46,70,F,Maximum Operating Case Temp Range
CFP NVR 1  32800(8020h),0x00,00,,Minimum Operating Case Temp Range
CFP NVR 1  32801(8021h),0x46,70,F,Vendor Name
CFP NVR 1  32802(8022h),0x49,73,I,Vendor Name
CFP NVR 1  32803(8023h),0x4E,78,N,Vendor Name
CFP NVR 1  32804(8024h),0x49,73,I,Vendor Name
CFP NVR 1  32805(8025h),0x53,83,S,Vendor Name
CFP NVR 1  32806(8026h),0x41,65,A,Vendor Name
CFP NVR 1  32807(8027h),0x52,82,R,Vendor Name
CFP NVR 1  32808(8028h),0x20,32, ,Vendor Name
CFP NVR 1  32809(8029h),0x43,67,C,Vendor Name
CFP NVR 1  32810(802Ah),0x4F,79,O,Vendor Name
CFP NVR 1  32811(802Bh),0x52,82,R,Vendor Name
CFP NVR 1  32812(802Ch),0x50,80,P,Vendor Name
CFP NVR 1  32813(802Dh),0x2E,46,.,Vendor Name
CFP NVR 1  32814(802Eh),0x20,32, ,Vendor Name
CFP NVR 1  32815(802Fh),0x20,32, ,Vendor Name
